,id,name,rating_kp,rating_imdb,votes_kp,votes_imdb,year,genre,director,director_id,countries
29,1008678,Против всех правил,5.713,0.0,428,0,2016,"комедия, криминал",Виктор Демент,464139,Россия
30,911117,Новые русские,5.696,0.0,3148,0,2015,"комедия, триллер, фантастика, драма","Камила Сафина, Григорий Добрыгин, Оксана Михеева, Кирилл Плетнёв","2872897, 1761890, 3226264, 677662",Россия
31,573817,Ёлки 2,7.032,6.2,156135,2789,2011,"мелодрама, комедия, семейный","Дмитрий Киселёв, Александр Баранов, Александр Котт, Леван Габриадзе","2000605, 294177, 231444, 287254",Россия
32,453238,Стерва,5.99,0.0,964,0,2009,мелодрама,Владимир Шевельков,269549,"Россия, Украина"
33,808082,Этаж №6,5.334,0.0,111,0,2013,триллер,Дмитрий Леднев,2974029,Россия
34,395697,Плюс один,7.126,6.6,13441,566,2008,"мелодрама, комедия",Оксана Бычкова,1188486,Россия
35,571078,Элизиум,5.678,0.0,175,0,2010,драма,Андрей Эшпай,284212,Россия
36,470162,Никогда не разговаривайте с неизвестными,4.943,5.4,155,14,2006,"фэнтези, комедия","Ольга Басова, Владимир Басов мл.","245766, 245765",Россия
37,941380,Простая девчонка,5.813,0.0,1126,0,2013,мелодрама,Максим Бриус,1691716,Россия
38,707288,На Байкал 2: На абордаж,5.958,0.0,1441,0,2012,комедия,Михаил Козлов,2638038,Россия
39,41476,Башмачник,6.459,6.0,1029,53,2002,"мелодрама, комедия, криминал",Владимир Зайкин,231537,Россия
40,471498,Мумия из чемодана,4.215,0.0,140,0,1992,комедия,"Геннадий Климов, Игорь Голубев","1104191, 913468",Россия
41,842324,Венеция 70: Перезагрузка будущего,5.765,5.8,225,422,2013,"документальный, драма","Хала Абдулла, Джон Акомфра, Ван Бин, Катрин Брейя","1525092, 388801, 1424552, 43933","Италия, США, Эфиопия, Самоа, Великобритания, Иран, Китай, Израиль, Австрия, Россия, Германия, Алжир, Таиланд, Япония, Бельгия, Греция, Индия, Испания, Гонконг, Турция"
42,80699,Арена,2.637,3.0,1527,844,2001,"боевик, драма, приключения",Тимур Бекмамбетов,464015,"Россия, США"
43,449180,Дохлая кошка,3.118,0.0,84,0,2008,"драма, мелодрама",Яков Каждан,1755640,Россия
44,707592,Дримс,6.538,0.0,326,0,2013,"драма, комедия",Антон Сухарев,1873267,Россия
45,434793,Поцелуй сестры,4.853,4.7,408,201,2007,"драма, мелодрама",Дмитрий Грибанов,1701235,Россия
46,41459,Вынос тела,6.158,6.3,194,25,1992,"триллер, драма",Валерий Лонской,266244,Россия
